id_cliente_enc,total_productos,productos_distintos,dias_activos,compras_por_semana,compras_entre_semana,compras_fin_de_semana,grupo_preferido,Cluster
a22d46e730ebea6446a6d13fdc987669,35,35,1,245,0,35,08231,1
2d1a43b67b802b982a51baf5f9d27dd4,50,35,1,350,50,0,01027,1
0fd909116da619b115473374bfcb3938,287,137,5,401.8,222,65,04080,4
ae4615806748f79bad31e80191776653,52,25,3,121.33333333333334,43,9,02651,1
65184f8eb431aa8882ad6897cc91252f,84,66,2,294,84,0,10028,2
2af9012b5dceda1b96501d42b945a40b,26,26,1,182,26,0,01012,1
cc205a9e9e20334c73dd46c3a38028ed,617,126,2,2159.5,566,51,05040,4
3fa7487c9343d7750c2f2c4c213b74ea,13,13,1,91,13,0,03050,1
c43d40ec64259ec36de6f3a4478b7cba,46,37,1,322,0,46,05030,1
fa349ecbbaaeb8f2db9d02e525dfee32,33,33,1,231,0,33,05040,1
eadaeccb65fe888d8394443f4e1c5900,6,6,1,42,6,0,11040,1
37d71a27b94adb8c46e6d38af2ecd549,26,23,2,91,16,10,01013,1
6f039b45a61df20aea2c5aa206ada24f,160,80,5,224,92,68,11040,3
53844068acc6285f711b92c8f07e6863,38,30,2,133,19,19,03050,1
cba644784372c065b54a0534b0d894d0,157,85,3,366.33333333333337,82,75,05030,3
8d979d890b829092f1ea430d27cc06b5,37,37,1,259,37,0,10200,1
ca390fd9c730d0f921d80d4e3e9a78c4,17,17,1,119,17,0,05040,1
d91405de80c29ba3148be16860392b1b,23,23,1,161,23,0,01026,1
bdf239d8c7d5d14e71454ec8c87ca866,203,119,3,473.6666666666667,86,117,05040,4
1a4732c429ccd37bf1f528ac471040bc,238,83,5,333.2,238,0,10240,4
1363ac9bda925ef75b3425ae9d5223cf,40,40,1,280,40,0,09090,1
d64af59f1053993fb2f467a76b524352,289,123,3,674.3333333333334,168,121,01027,4
c5f53d9e8cd09daa23105e28308c12f7,6,3,2,21,3,3,05030,1
774fa4f99b8ea241594cacfeaca812ba,21,21,1,147,21,0,08452,1
0faa76ecccebaa3f282f35a2b169eda2,58,39,3,135.33333333333334,58,0,10028,2
fe60145bcba9b1fbdd403259e8d49a33,22,22,1,154,22,0,08313,1
ce6104e96fa19e5d304ac022acf32c18,37,37,1,259,37,0,10028,1
4c92f5ece7e1545bb4b3d6805dd8c8b0,117,59,1,819,117,0,04060,3
ddd4c2351558f13acc6c83091cbbcb58,77,55,2,269.5,77,0,01085,2
3baff05087109cc6f4cd5ebdb58b5683,71,55,2,248.5,71,0,05040,2
08d7327ca0bc44a285d50020d179330e,49,49,1,343,0,49,01013,1
b630d98dd876053d42b77da1b670b7ad,226,116,2,791,196,30,05040,4
9add3117ce6220834e6d36d6823bca04,124,82,2,434,37,87,01026,3
3cc5e55e42bf03c2bb84bc91d10f9af3,107,66,3,249.66666666666669,68,39,05041,3
7f7ff9afa77b2cff788f61585aa5cb4b,25,25,1,175,25,0,01026,1
715fd3f533e1e564e203dea1d5da8fcd,95,68,3,221.66666666666669,95,0,01013,3
3aab1f55d12258419d0459dddef0c4ce,95,83,2,332.5,95,0,01026,3
106c6d0c17f46d71ebd5f705d81c32a3,3,3,1,21,3,0,05030,1
